"Id Empenho";"Código Empenho";"Sequencial";"Tipo Operação";"Data Operação";"Quantidade Item";"Valor Unitário Item";"Valor Total Item"
"562143084";"366003362102024NE000001";"1";"INCLUSAO";"02/01/2024";"1,00000";"17500,00000";"17500,00000"
"562145534";"170600000012024NE000019";"1";"INCLUSAO";"02/01/2024";"1,00000";"1,00000";"1,00000"
"562145534";"170600000012024NE000019";"1";"ANULACAO";"02/01/2024";"1,00000";"1,00000";"1,00000"
"562147902";"164204162042024NE000004";"1";"INCLUSAO";"04/01/2024";"1,00000";"85000,00000";"85000,00000"
"562148811";"164204162042024NE000003";"1";"INCLUSAO";"04/01/2024";"1,00000";"190000,00000";"190000,00000"
"562149752";"164204162042024NE000013";"1";"INCLUSAO";"04/01/2024";"1,00000";"980,00000";"980,00000"
"562149752";"164204162042024NE000013";"2";"INCLUSAO";"04/01/2024";"1,00000";"1500,00000";"1500,00000"
"562149752";"164204162042024NE000013";"3";"INCLUSAO";"04/01/2024";"1,00000";"788,00000";"788,00000"
"562150653";"164204162042024NE000011";"1";"INCLUSAO";"04/01/2024";"1,00000";"550123,00000";"550123,00000"
"562152837";"164204162042024NE000001";"1";"INCLUSAO";"04/01/2024";"1,00000";"2264197,00000";"2264197,00000"
"562153551";"164204162042024NE000010";"1";"INCLUSAO";"04/01/2024";"1,00000";"68926,00000";"68926,00000"
"562153897";"366003362102024NE000002";"1";"INCLUSAO";"02/01/2024";"1,00000";"7540,00000";"7540,00000"
"562157221";"164204162042024NE000009";"1";"INCLUSAO";"04/01/2024";"1,00000";"10212,00000";"10212,00000"
"562158259";"170600000012024NE000014";"1";"ANULACAO";"02/01/2024";"1,00000";"1,00000";"1,00000"
"562158259";"170600000012024NE000014";"1";"INCLUSAO";"02/01/2024";"1,00000";"1,00000";"1,00000"
"562159445";"158309264132024NE000007";"1";"INCLUSAO";"09/01/2024";"0,00889";"56242,96960";"500,00000"
"562160534";"170010000012024NE000037";"1";"INCLUSAO";"08/01/2024";"9784,00000";"1,00000";"9784,00000"
"562161474";"170010000012024NE000036";"1";"INCLUSAO";"08/01/2024";"14676,00000";"1,00000";"14676,00000"
"562162438";"170010000012024NE000038";"1";"INCLUSAO";"08/01/2024";"39136,00000";"1,00000";"39136,00000"
"562163176";"170010000012024NE000034";"1";"INCLUSAO";"08/01/2024";"48920,00000";"1,00000";"48920,00000"
"562165063";"170010000012024NE000035";"1";"INCLUSAO";"08/01/2024";"4892,00000";"1,00000";"4892,00000"
"562168048";"164204162042024NE000012";"1";"INCLUSAO";"04/01/2024";"1,00000";"74078,00000";"74078,00000"
"562175837";"158309264132024NE000008";"1";"INCLUSAO";"09/01/2024";"535,00000";"4,55000";"2434,25000"
"562175837";"158309264132024NE000008";"2";"INCLUSAO";"09/01/2024";"300,00000";"3,18000";"954,00000"
"562175837";"158309264132024NE000008";"3";"INCLUSAO";"09/01/2024";"600,00000";"3,38000";"2028,00000"
"562183101";"158309264132024NE000012";"1";"INCLUSAO";"15/01/2024";"16,00000";"0,10000";"1,60000"
"562191716";"158309264132024NE000010";"1";"INCLUSAO";"15/01/2024";"4,00000";"0,10000";"0,40000"
"562198457";"250038000012024NE000003";"1";"INCLUSAO";"17/01/2024";"0,06698";"26798,29800";"1794,95000"
"562228335";"343002404012024NE000012";"1";"INCLUSAO";"25/01/2024";"0,00347";"294106,62820";"1020,55000"
"562246823";"250038000012024NE000014";"1";"INCLUSAO";"30/01/2024";"11535,00000";"0,36000";"4152,60000"
"562250539";"156746264032024NE000004";"1";"INCLUSAO";"01/02/2024";"0,00843";"48003,55870";"404,67000"
"562280578";"158309264132024NE000023";"1";"INCLUSAO";"31/01/2024";"1000,00000";"2,16000";"2160,00000"
"562289663";"155422264032024NE000003";"1";"INCLUSAO";"08/02/2024";"1,00000";"1427,48000";"1427,48000"
"562290651";"155422264032024NE000001";"1";"INCLUSAO";"07/02/2024";"0,68641";"25769,14670";"17688,20000"
"562316062";"155422264032024NE000004";"1";"INCLUSAO";"19/02/2024";"0,06926";"54096,44820";"3746,72000"
"562403181";"495110292082024NE000139";"1";"INCLUSAO";"11/03/2024";"1,00000";"2000,00000";"2000,00000"
"562423370";"495110292082024NE000140";"1";"INCLUSAO";"11/03/2024";"1,00000";"3000,00000";"3000,00000"
"562555758";"495110292082024NE000204";"1";"INCLUSAO";"09/04/2024";"1,00000";"876,14000";"876,14000"
"562696976";"156746264032024NE000015";"1";"INCLUSAO";"09/05/2024";"0,01300";"20000,00000";"260,00000"
"562733230";"156623264032024NE000026";"1";"INCLUSAO";"15/05/2024";"2500,00000";"14,30000";"35750,00000"
"562733230";"156623264032024NE000026";"2";"INCLUSAO";"15/05/2024";"9268,00000";"5,98000";"55422,64000"
"562757484";"495110292082024NE000316";"1";"INCLUSAO";"20/05/2024";"1,00000";"16960,00000";"16960,00000"
